id,key,value,type
4786685,bicycle,no,regular
4786685,bridge,yes,regular
4786685,foot,no,regular
4786685,hgv,designated,regular
4786685,highway,motorway,regular
4786685,horse,no,regular
4786685,hov,lane,regular
4786685,lanes,4,regular
4786685,layer,1,regular
4786685,maxspeed,65 mph,regular
4786685,hgv,55 mph,maxspeed
4786685,trailer,55 mph,maxspeed
4786685,name,Junipero Serra Freeway,regular
4786685,lanes,left lane is hov,note
4786685,oneway,yes,regular
4786685,ref,I 280,regular
4786685,sidewalk,none,regular
4786685,maxspeed,sign,source
4786686,bicycle,no,regular
4786686,bridge,yes,regular
4786686,foot,no,regular
4786686,hgv,designated,regular
4786686,highway,motorway,regular
4786686,horse,no,regular
4786686,hov,lane,regular
4786686,lanes,4,regular
4786686,layer,1,regular
4786686,maxspeed,65 mph,regular
4786686,hgv,55 mph,maxspeed
4786686,trailer,55 mph,maxspeed
4786686,name,Junipero Serra Freeway,regular
4786686,lanes,left lane is hov,note
4786686,oneway,yes,regular
4786686,ref,I 280,regular
4786686,sidewalk,none,regular
4786686,maxspeed,sign,source
4786735,street,Foothill Expressway;Grant Road,destination
4786735,highway,motorway_link,regular
4786735,oneway,yes,regular
4786735,sidewalk,none,regular
4786742,destination,San Jose,regular
4786742,ref,I 280 South,destination
4786742,highway,motorway_link,regular
4786742,lanes,1,regular
4786742,oneway,yes,regular
4786742,sidewalk,none,regular
4786742,surface,asphalt,regular
4786749,bridge,yes,regular
4786749,highway,motorway_link,regular
4786749,lanes,1,regular
4786749,layer,1,regular
4786749,oneway,yes,regular
4786749,sidewalk,none,regular
4809358,highway,service,regular
4809389,highway,tertiary,regular
4809389,lanes,2,regular
4809389,maxspeed,30 mph,regular
4809389,name,Stevens Canyon Road,regular
4809389,sidewalk,none,regular
4809389,maxspeed,survey,source
4809391,HFCS,Principal Arterial,regular
4809391,cycleway,lane,regular
4809391,highway,secondary,regular
4809391,lanes,2,regular
4809391,maxspeed,40 mph,regular
4809391,name,North Foothill Boulevard,regular
4809391,oneway,yes,regular
4809391,sidewalk,right,regular
4964746,right,lane,cycleway
4964746,highway,trunk,regular
4964746,lanes,3,regular
4964746,maxspeed,50 mph,regular
4964746,name,Lawrence Expressway,regular
4964746,oneway,yes,regular
4964746,ref,G2,regular
4964746,maxspeed,sign,source
4964747,cycleway,lane,regular
4964747,highway,primary,regular
4964747,maxspeed,40 mph,regular
4964747,name,Stevens Creek Boulevard,regular
4964747,oneway,yes,regular
4964747,sidewalk,right,regular
4964747,maxspeed,survey,source
5005996,right,lane,cycleway
5005996,highway,primary,regular
5005996,lanes,2,regular
5005996,name,Wolfe Road,regular
5005996,oneway,yes,regular
5005996,sidewalk,right,regular
5018736,bridge,yes,regular
5018736,right,lane,cycleway
5018736,highway,primary,regular
5018736,layer,1,regular
5018736,name,Wolfe Road,regular
5018736,oneway,yes,regular
5018736,sidewalk,right,regular
5018739,cycleway,lane,regular
5018739,highway,primary,regular
5018739,lanes,2,regular
5018739,name,Wolfe Road,regular
5018739,oneway,yes,regular
5018739,sidewalk,right,regular
5018740,highway,service,regular
5018743,bridge,yes,regular
5018743,right,lane,cycleway
5018743,highway,primary,regular
5018743,lanes,2,regular
5018743,layer,1,regular
5018743,name,Wolfe Road,regular
5018743,oneway,yes,regular
5018743,sidewalk,right,regular
5018744,highway,service,regular
5018744,maxspeed,15 mph,regular
5018744,oneway,yes,regular
5018745,access,no,regular
5018745,highway,service,regular
5018745,maxspeed,15 mph,regular
5018747,access,no,regular
5018747,highway,service,regular
5018747,lanes,2,regular
5018747,maxspeed,15 mph,regular
5031806,HFCS,Principal Arterial,regular
5031806,right,lane,cycleway
5031806,highway,primary,regular
5031806,lanes,3,regular
5031806,maxspeed,35 mph,regular
5031806,name,Stevens Creek Boulevard,regular
5031806,oneway,yes,regular
5031806,sidewalk,right,regular
5031806,maxspeed,sign,source
5031806,surface,asphalt,regular
5071569,highway,trunk,regular
5071569,lanes,3,regular
5071569,maxspeed,50 mph,regular
5071569,name,Lawrence Expressway,regular
5071569,oneway,yes,regular
5071569,placement,right_of:2,regular
5071569,ref,G2,regular
5071569,maxspeed,survey,source
5958137,bicycle,no,regular
5958137,destination,Mountain View,regular
5958137,ref,CA 85 North,destination
5958137,highway,motorway_link,regular
5958137,lanes,1,regular
5958137,oneway,yes,regular
5958137,sidewalk,none,regular
8923229,highway,residential,regular
8923229,name,Hale Place,regular
8923229,sidewalk,both,regular
8923229,cfcc,A41,tiger
8923229,county,"Santa Clara, CA",tiger
8923229,name_base,Hale,tiger
8923229,name_type,Pl,tiger
8923342,cycleway,shared_lane,regular
8923342,highway,residential,regular
8923342,lanes,2,regular
8923342,name,Forest Avenue,regular
8923342,sidewalk,both,regular
8923342,surface,asphalt,regular
8923342,cfcc,A41,tiger
8923342,county,"Santa Clara, CA",tiger
8923342,name_base,Forest,tiger
8923342,name_type,Ave,tiger
8923352,highway,residential,regular
8923352,name,Anne Lane,regular
8923352,sidewalk,both,regular
8923352,cfcc,A41,tiger
8923352,county,"Santa Clara, CA",tiger
8923352,name_base,Anne,tiger
8923352,name_type,Ln,tiger
8923352,reviewed,no,tiger
8923942,highway,service,regular
8923942,sidewalk,none,regular
8923942,county,"Santa Clara, CA",tiger
8923965,highway,service,regular
8923965,cfcc,A41,tiger
8923965,county,"Santa Clara, CA",tiger
8923965,reviewed,no,tiger
8923969,destination,San Jose,regular
8923969,ref,I 280 South,destination
